name,address,city,state,zip,country,full_address,phone,time_hours,days,service_type,distance_miles,County,latitude,longitude
True Vine Memorial Church,101 Firehouse Road,Browns Mills,NJ,8015,US,"101 Firehouse Road, Browns Mills, NJ, 08015, US",609-893-3948,11:00am-3:00pm,4th Thursday,Pantry,10.55,Burlington County,39.9537509,-74.5509949
Christian Caring Center,378 Lakehurst Road,Browns Mills,NJ,8015,US,"378 Lakehurst Road, Browns Mills, NJ, 08015, US",609-893-0701,10:00am - 12:00pm,Monday - Friday,Pantry,11.0,Burlington County,39.9619227,-74.5711909
Grace Episcopal Church,43 Elizabeth Street,Pemberton,NJ,8068,US,"43 Elizabeth Street, Pemberton, NJ, 08068, US",609-894-8001,10:00am-2:00pm,3rd Saturday,,,Burlington County,39.9708937,-74.6795121
Abundant New Life Ministries,223 Front Street,Fieldsboro,NJ,8505,US,"223 Front Street, Fieldsboro, NJ, 08505, US",609-424-0088,12:00pm - 3:00pm,3rd Thursday,Pantry,18.02,Burlington County,40.139966,-74.729549
First Presbyterian Church,125 Garden Street,Mt. Holly,NJ,8060,US,"125 Garden Street, Mt. Holly, NJ, 08060, US",609-267-0330,9:00am - 11:00am,First Presbyterian Church; 3rd Wednesday,Soup Kitchen,20.52,Burlington County,39.9967584,-74.7848411
"Koinonia Family Life, Inc.",1657 Mt. Ephraim Avenue,Camden,NJ,8104,US,"1657 Mt. Ephraim Avenue, Camden, NJ, 08104, US",856-757-4899,Monday 8:00am - 2:00pm; 3rd Saturday 8:00am - 12:00pm,Monday 8:00am - 2:00pm; 3rd Saturday 8:00am - 12:00pm,Pantry,20.53,Camden County,39.924118,-75.105069
Life Gate Assembly of God,1607 Jacksonville Road,Burlington,NJ,8016,US,"1607 Jacksonville Road, Burlington, NJ, 08016, US",609-239-1779,9:00am -11:00am,2nd and 4th Saturday,,,Burlington County,40.0556154,-74.799457
Ebenezer Family Worship Center,35 Garden Street,Mt Holly,NJ,8060,US,"35 Garden Street, Mt Holly, NJ, 08060, US",609-283-6798,3rd Saturday 10:00 AM-2:00 PM,3rd Saturday 10:00 AM-2:00 PM,,,Burlington County,39.9957563,-74.7872639
Beacon of Hope,41 Mill Street,Mt. Holly,NJ,8060,US,"41 Mill Street, Mt. Holly, NJ, 08060, US",609-288-6517,Every Friday 9:00am - 12:30pm,Every Friday 9:00am - 12:30pm,Pantry,20.64,Burlington County,39.9930583,-74.7874702
SVDP - Sacred Heart Conference,260 High Street,Mt Holly,NJ,8060,US,"260 High Street, Mt Holly, NJ, 08060, US",609-267-9600,"Thursday 10:00 AM - 12:00 PM, 6:30 PM - 8:00 PM","Thursday 10:00 AM - 12:00 PM, 6:30 PM - 8:00 PM",,,Burlington County,39.9989926,-74.7905131
People First,1841 Burlington-Mt. Holly Road,Westampton,NJ,8060,US,"1841 Burlington-Mt. Holly Road, Westampton, NJ, 08060, US",609-261-4571,9:00am - 12:00pm,People First; Monday and Friday,Pantry,21.09,Burlington County,40.0101281,-74.8001316
Legacy Treatment Services - Kairos House,201 Spout Spring Avenue,Mt Holly,NJ,8060,US,"201 Spout Spring Avenue, Mt Holly, NJ, 08060, US",609-261-3034,10:00am-2:00pm,Sunday-Saturday,Pantry,21.19,Burlington County,39.9849258,-74.794772
Christian Community Church-Extended Hand,275 Holeman Street,Mt Holly,NJ,8060,US,"275 Holeman Street, Mt Holly, NJ, 08060, US",609-914-4270,11:00am-2:00pm,Monday and Wednesday,,,Burlington County,39.9894869,-74.8000595
Oaks Integrated Care - Mt. Holly,770 Woodlane Road,Mt. Holly,NJ,8060,US,"770 Woodlane Road, Mt. Holly, NJ, 08060, US",609-267-5928,Monday-Wednesday 10:00am-12:00pm; Thursday-Friday 1:00pm-3:00pm,Monday-Friday; Monday-Wednesday 10:00am-12:00pm; Thursday-Friday 1:00pm-3:00pm,Pantry,21.62,Burlington County,40.0094131,-74.7884274
On the Wings of Love,348 West 4th Street,Florence,NJ,8518,US,"348 West 4th Street, Florence, NJ, 08518, US",609-496-2008,4:00pm - 6:00pm,348 West 4th Street; 3rd Thursday,Pantry,21.85,Burlington County,40.1207613,-74.8100953
SVDP - Holy Eucharist Conference,520 Medford Lakes Road,Tabernacle,NJ,8088,US,"520 Medford Lakes Road, Tabernacle, NJ, 08088, US",609-268-0005,10:00am-12:00pm,Tuesday and Thursday,Pantry,22.0,Burlington County,39.8515376,-74.7528237
Haitian Baptist Church,203 Sunset Road,Burlington,NJ,8016,US,"203 Sunset Road, Burlington, NJ, 08016, US",609-386-0244,1:00pm - 5:00pm,3rd Wednesday,,,Burlington County,40.0456717,-74.8991442
Tabernacle Baptist Church,150 East 2nd Street,Burlington,NJ,8016,US,"150 East 2nd Street, Burlington, NJ, 08016, US",609-386-4785,10:00am-12:00pm,150 East 2nd Street; Monday,Pantry,23.51,Burlington County,40.0690197,-74.8514428
Bible Way Apostolic Missions,309 East Broad Street,Burlington,NJ,8016,US,"309 East Broad Street, Burlington, NJ, 08016, US",609-479-3806,1st & 3rd Saturday 1:00PM-3:00PM,1st & 3rd Saturday 1:00PM-3:00PM,Pantry,23.71,Burlington County,40.0784161,-74.8533347
SVDP - St. Katherine Drexel,502 High Street,Burlington,NJ,8016,US,"502 High Street, Burlington, NJ, 08016, US",609-386-3650,9:30am-11:00am,Wednesday,,,Burlington County,40.074194,-74.856695
St. Mary's Episcopal Church - Ladle of Love,145 West Broad Street,Burlington,NJ,8016,US,"145 West Broad Street, Burlington, NJ, 08016, US",609-386-0902,"Distribution Hours - 2nd, 3rd & 4th Wednesday 4:00pm-6:00pm","Distribution Hours - 2nd, 3rd & 4th Wednesday 4:00pm-6:00pm",,,Burlington County,40.0771119,-74.8618648
Burlington SDA Church,256 Conover Street,Burlington,NJ,8016,US,"256 Conover Street, Burlington, NJ, 08016, US",609-386-6133 ext. 2,9:00am - 2:00pm,3rd Tuesday,Pantry,24.32,Burlington County,40.0769713,-74.8642007
Catholic Charities - Emergency Service,450 Veterans Drive,Burlington,NJ,8016,US,"450 Veterans Drive, Burlington, NJ, 08016, US",856-764-6940,9:00am - 11:30am; 1:30pm - 3:30pm,1st and 2nd Wednesday,,,Burlington County,40.0757503,-74.869792
